Caminho Original,É da Rádio?,Programa Identificado,Destino Proposto
G:\Meu Drive\2026 (1)\03 - MAR - 26\26 03\BOLETIM_RADIO_TJRN_26_03_2026_B9_TJRN_PARNAMIRIM_DEVE_APRESENTAR_PLANO_CAPS_.mp3,SIM,BOLETIM,H:\Meu Drive\02_PRODUCAO/BOLETINS
G:\Meu Drive\2026 (1)\03 - MAR - 26\26 03\BOLETIM_RADIO_TJRN_26_03_2026_B1_TJRN_CANGUARETAMA_SELECAO_INTERINO.mp3,SIM,BOLETIM,H:\Meu Drive\02_PRODUCAO/BOLETINS
G:\Meu Drive\2026 (1)\03 - MAR - 26\26 03\BOLETIM_RADIO_TJRN_26_03_2026_B2_TJRN_INAUGURA_PLATAFORMA_ACESSIBILIDADE.mp3,SIM,BOLETIM,H:\Meu Drive\02_PRODUCAO/BOLETINS
G:\Meu Drive\2026 (1)\03 - MAR - 26\26 03\BOLETIM_RADIO_TJRN_26_03_2026_B7_TJRN_REMICAO_PENA_POR_ESTUDO_.mp3,SIM,BOLETIM,H:\Meu Drive\02_PRODUCAO/BOLETINS
G:\Meu Drive\2026 (1)\03 - MAR - 26\26 03\BOLETIM_RADIO_TJRN_26_03_2026_B10_TRTRN_VARA_NEGA_DANOS_MORAIS_.mp3,SIM,BOLETIM,H:\Meu Drive\02_PRODUCAO/BOLETINS
G:\Meu Drive\2026 (1)\03 - MAR - 26\26 03\BOLETIM_RADIO_TJRN_26_03_2026_B8_TJRN_SENTENCA_DETERMINA_REPARACAO_DEFEITOS_.mp3,SIM,BOLETIM,H:\Meu Drive\02_PRODUCAO/BOLETINS
G:\Meu Drive\2026 (1)\03 - MAR - 26\26 03\BOLETIM_RADIO_TJRN_26_03_2026_B6_TJRN_NEGA_ACAO_IMPROBIDADE_CONTRATACAO_.mp3,SIM,BOLETIM,H:\Meu Drive\02_PRODUCAO/BOLETINS
G:\Meu Drive\2026 (1)\03 - MAR - 26\26 03\BOLETIM_RADIO_TJRN_26_03_2026_B5_TJRN_EMPRESA_HOME_CARE_CONDENADA_.mp3,SIM,BOLETIM,H:\Meu Drive\02_PRODUCAO/BOLETINS
G:\Meu Drive\2026 (1)\03 - MAR - 26\26 03\BOLETIM_RADIO_TJRN_26_03_2026_B4_TJRN_EMPRESA_ENERGIA_SOLAR_CONDENADA_.mp3,SIM,BOLETIM,H:\Meu Drive\02_PRODUCAO/BOLETINS
G:\Meu Drive\2026 (1)\03 - MAR - 26\26 03\desktop.ini,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Outros
G:\Meu Drive\2026 (1)\03 - MAR - 26\05 03 - QUI\B8- DPERN JARDIM PRIMAVERA .gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\05 03 - QUI\B9- TRT RN ASSISTENTE VIRTUAL.gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\05 03 - QUI\B1- TJRN ATO IMPROBIDADE LICITATÓRIO .gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\05 03 - QUI\B5- TJRN HOMEM CONDENADO ESTELIONATO.gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\05 03 - QUI\B7- TJRN NOMEIA 13 APROVADOS .gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\05 03 - QUI\B3- TJRN ANPP NEGADO NOVA DECISÃO.gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\05 03 - QUI\B2- TJRN CONDENA COMERCIANTES REVENDA .gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\05 03 - QUI\B4- TJRN MANTÉM LICITAÇÃO CABEAMENTO .gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\05 03 - QUI\B6- TJRN RESPOSABILIDADE REDE SOCIAL .gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\05 03 - QUI\B10- ESMARN EDITAL PROVA PRÁTICA.gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\05 03 - QUI\desktop.ini,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Outros
G:\Meu Drive\2026 (1)\03 - MAR - 26\26 03 - QUI\B6- TJRN NEGA AÇÃO IMPROBIDADE CONTRATAÇÃO .gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\26 03 - QUI\B7- TJRN REMIÇÃO PENA POR ESTUDO .gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\26 03 - QUI\B9- TJRN PARNAMIRIM DEVE APRESENTAR PLANO CAPS .gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\26 03 - QUI\B5- TJRN EMPRESA HOME CARE CONDENADA .gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\26 03 - QUI\B1- TJRN CANGUARETAMA SELEÇÃO INTERINO.gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\26 03 - QUI\B2- TJRN INAUGURA PLATAFORMA ACESSIBILIDADE.gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\26 03 - QUI\B3- TJRN GARANTE ABANDONO PERMANÊNCIA RETROATIVO .gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\26 03 - QUI\B8- TJRN SENTENÇA DETERMINA REPARAÇÃO DEFEITOS .gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\26 03 - QUI\B4- TJRN EMPRESA ENERGIA SOLAR CONDENADA .gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\26 03 - QUI\B10- TRT RN VARA NEGA DANOS MORAIS .gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\26 03 - QUI\desktop.ini,NÃO,-,G:\Meu Drive\Arquivos_Pessoais_Para_Verificacao\Outros
G:\Meu Drive\2026 (1)\03 - MAR - 26\02 03 - SEG\B1- TRE RN ADQUIRE NOVAS CADEIRAS .gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\02 03 - SEG\B10- TJRN PRIMEIRO TECNOLOGIA FOCO 2026.gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\02 03 - SEG\B9- TJRN JUSTIÇA ELEVA PERCENTUAL ALIMENTOS .gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\02 03 - SEG\B2- ACESSIBILIDADE CAPS PARNAMIRIM.gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\02 03 - SEG\B4- CONDENAÇÃO SALÁRIO SEM  EXERCER FUNÇÃO.gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\02 03 - SEG\B6- CONDENAÇÃO EXTRAVIO BAGAGEM.gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\02 03 - SEG\B3- SUSPENSÃO DESCONTO PENSÃO.gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
G:\Meu Drive\2026 (1)\03 - MAR - 26\02 03 - SEG\B7- RESPONSÁVEL INTERINO CANGUARETAMA.gdoc,SIM,DESCONHECIDO,H:\Meu Drive\01_ROTEIROS/DESCONHECIDOS
